c1	c2	c3	c4	c5	c6
2.426552129	-149.7531162	18.37042874	-11.50504396	-0.301334333	0.398247647
-0.011060176	-25.28772307	37.36469788	-26.9957203	-0.232047229	0.26260554
-0.130743368	-255.1812759	54.60498432	-26.9105089	-0.103347157	3.362643935
0.215918563	-276.9305085	14.4939913	-68.44989721	-0.191882408	0.437168263
0.527649809	-851.9787515	43.44782782	-51.99194379	-0.185602337	0.577738851
-0.47557108	-285.4460919	0.990590424	-48.95084585	-0.09856883	0.617102904
0.223640155	-105.9253572	39.4963041	-12.04215225	-0.156672315	0.765920545
0.84460003	-54.77826615	16.82208836	-65.10694625	-0.830002054	0.553569693
-0.560742233	-227.3836778	6.792690185	-7.690202709	-0.340200687	0.340495776
0.518172456	-524.1661573	9.191017526	-20.49422794	-0.272999223	0.848947674
-0.278682844	-169.9100667	68.92741015	-35.18413184	-0.11531039	0.591802324
3.97933691	-47.04446089	28.34101506	-50.96978891	-0.164488794	0.413025107
0.403599654	-350.1579124	51.6515796	-18.60164874	-0.161230138	0.407721194
0.002366286	-104.8336412	17.99751541	-8.99651017	-0.187545193	0.266781805
0.098621712	-208.1735941	22.76592045	-41.40397031	-0.300077126	0.588256587
3.577989232	-197.4902061	41.5366206	-18.81456132	-0.096518208	0.548405781
1.569403725	-266.1664852	0.021395728	-0.20518643	-0.153998934	4.587656244
-0.210832401	-1048.629562	0.268866559	-36.08361743	1.111294512	0.301930956
0.413839366	-388.7041806	1.732919495	-4.923536173	-0.140764424	0.366187647
-0.560821474	-169.7651631	42.24576012	-103.893965	-0.279202815	0.334187322
2.594712646	-114.6101568	44.9901032	-12.19046958	-0.556628958	0.999500304
-0.130308382	-179.2320244	47.34345276	-4.073805896	-0.230092656	0.283791969
-0.592183852	-93.66623764	0.206823415	-83.62389222	-0.520294976	0.765409127
0.552071144	-227.4350399	23.81544376	-13.54567391	-0.355451124	0.28504131
-0.280382181	-109.8603691	5.541411674	-27.78223956	-0.320012064	0.509965161
-0.480578117	-420.1713762	15.65536513	-46.38396392	16.64449281	0.387911653
1.416028251	-199.1072893	48.64058749	-18.46114987	-0.133096224	0.465561301
